"CENTRO DE DESARROLLO INTEGRAL PARA LA PRIMERA INFANCIA ""HOSPITAL DE ESPECIALIDADES
EUGENIO ESPEJO""";CONTACTADO;GRATIS;;
"UNIDAD EDUCATIVA PARTICULAR
“MIGUEL ANGEL BUONARROTI”";CONTACTADO;;;
CDI CARAMELO;CONTACTADO;;;
CDI CASITA DE TERNURA;CONTACTADO;;;
CEDIPI SUEÑOS DE PAPEL;CONTACTADO;;;
CDI CIUDAD DEL NIÑO;CONTACTADO;;;
CDI CLUB DE LAS MANITOS;CONTACTADO;;;
CDIPI CRAYONES Y COLORES;CONTACTADO;;;
CDI Discovery Academy;CONTACTADO;;;
DISNEY GARDEN;CONTACTADO;;;
CDI EIGTH ACADEMY;CONTACTADO;;;
EL MUNDO DE LOS GENIOS;CONTACTADO;;;
CDI ENTRE CUENTOS Y HADAS;CONTACTADO;;;
CDI Espacio Infantil;CONTACTADO;;;
CDI EXPLORERS KINDERGARDEN;CONTACTADO;;;
CDI GYM KIDS;CONTACTADO;;;
"CENTRO DE DESARROLLO INTEGRAL PARA LA PRIMERA INFANCIA HAPPY
KIDS";CONTACTADO;;;
HAPPY KINDER PLACE;CONTACTADO;;;
CDI HORAS ALEGRES;CONTACTADO;;;
IMAGINE ACADEMIA COTOPAXI;CONTACTADO;;;
"CENTRO DESARROLLO INTEGRAL MY
LITTLE FARM";CONTACTADO;;;
CDI JUAN SALVADOR GAVIOTA;CONTACTADO;;;
CDI Kids Group Kinder Garden;CONTACTADO;;;
KINDERLAND;CONTACTADO;;;
CDI LITTLE STEPS;CONTACTADO;;;
CDI LUCERITOS DE AMOR FUNDEBIP;CONTACTADO;;;
"CENTRO DE EDUCACION INICIAL 
MANITAS CREADORAS";CONTACTADO;;;
CENTRO INFANTIL MI CASA;CONTACTADO;;;
MI CASITA DE CHOCOLATE;CONTACTADO;;;
CDI MIS PINGUINITOS;CONTACTADO;;;
CDI Mis raices Growing;CONTACTADO;;;
MOCHILAS DE COLORES DEL VALLE;CONTACTADO;;;
CDI MOMMYS ANGELS;CONTACTADO;;;
CDI Mundo de Papel;CONTACTADO;;;
CDI MUNDO FANTASTICO;CONTACTADO;;;
CDI MY BRIGHT BEGINNINGS;CONTACTADO;;;
MY GOLDEN WORLD KIDS;CONTACTADO;;;
CDI MY HONEY KIDS;CONTACTADO;;;
CDI My roots Kinder;CONTACTADO;;;
CDI NUEVO DIA;CONTACTADO;;;
CDI ONLY KIDS;CONTACTADO;;;
"CENTRO DE DESARROLLO INFANTIL 
PEQUE MUNDO";CONTACTADO;;;
CDI PERPETUO SOCORRO KIDS;CONTACTADO;;;
CDI PITO PITO COLORITO;CONTACTADO;;;
CDI PLAY GROUP;CONTACTADO;;;
"CENTRO DE DESARROLLO INTEGRAL
PARA PRIMERA INFANCIA PLAY TIME 1";CONTACTADO;;;
PLAY TIME 2;CONTACTADO;;;
CDI PLAY TIME VIA TANDA;CONTACTADO;;;
CDI Plaza Sesamo School;CONTACTADO;;;
PORTAL DE LOS NIÑOS;CONTACTADO;;;
"CENTRO DE DESARROLLO INFANTIL
JARDIN DE INFANTES PULGARCITO";CONTACTADO;;;
CDI REINO DE LOS NIÑOS;CONTACTADO;;;
CDI SAN ANDRES;CONTACTADO;;;
"SMART KIDS PEQUEÑOS
INTELIGENTES";CONTACTADO;;;
SWEET KIDS;CONTACTADO;;;
TALLER INFANTIL ALOUETTE;CONTACTADO;;;
TALLER INFANTIL ESCALERITAS;CONTACTADO;;;
TALLER INTEGRALKIDS;CONTACTADO;;;
"CENTRO DE DESARROLLO INTEGRAL
PARA LA PRIMERA INFANCIA PARTICULAR TEJA LA CONEJA";CONTACTADO;;;
"CENTRO DE DESAROLLO INTEGRAL PARA LA PRIMERA INFANCIA TRAZOS
Y COLORES";CONTACTADO;;;
CDI VERDE MANZANA;CONTACTADO;;;
CDI ZONA MAGICA;CONTACTADO;;;
ALFREDBINET;CONTACTADO;;;
UEP ALBANY SCHOOL;CONTACTADO;;;
"UNIDAD EDUCATIVA PARTICULAR
ANGEL POLIBIO CHAVES";CONTACTADO;;;
"INSTITUCION EDUCATIVA
PARTICULAR CARLOS ALVAREZ MIÑO SUIZO";CONTACTADO;;;
"UNIDAD EDUCATIVA PARTICULAR
BRITANICO INTERNACIONAL";CONTACTADO;;;
UEP Colegio de America;CONTACTADO;;;
COLEGIO PARTICULAR PACHAMAMA;CONTACTADO;;;
"UNIDAD EDUCATIVA GIOVANNI
BELLINI";CONTACTADO;;;
"UNIDAD EDUCATIVA PARTICULAR
TERRANOVA";CONTACTADO;;;
ESCUELA PARTICULAR EFRATA;CONTACTADO;MENOR VALOR;;
"UNIDAD EDUCATIVA PARTICULAR EL 
PRADO";CONTACTADO;;;
UEP Escuela los Olivos Kids;CONTACTADO;;;
COLEGIO PARTICULAR FRANZ SCHUBERT;CONTACTADO;;;
UEP GIOVANNI FARINA;CONTACTADO;;;
"CENTRO EDUCATIVO GONZALO
RUALES BENALCAZAR";CONTACTADO;;;
ISM INTERNATIONAL ACADEMY NORTH;CONTACTADO;;;
UEP JAHIBE;CONTACTADO;;;
"UNIDAD EDUCATIVA BILINGÜE
PARTICULAR CAMPO VERDE";CONTACTADO;;;
UEP LICEO DEL VALLE;CONTACTADO;;;
"UNIDAD EDUCATIVA DE FUERZAS ARMADAS LICEO NAVAL QUITO COMANDANTE CESAR ENDARA
PEÑAHERRERA";CONTACTADO;;;
COLEGIO PARTICULAR LOS ILINIZAS;CONTACTADO;;;
UNIDAD EDUCATIVA FISCOMISIONAL MERCEDES DE JESUS MOLINA;CONTACTADO;MENOR VALOR;;
UNIDAD EDUCATIVA PAULO VI;CONTACTADO;;;
UNIDAD EDUCATIVA PRIMAVERA;CONTACTADO;;;
UNIDAD EDUCATIVA SAINT PATRICK;CONTACTADO;;;
"UNIDAD EDUCATIVA PARTICULAR
CARDENAL SPELLMAN";CONTACTADO;;;
UEP Salesiano Don Bosco – Kennedy;CONTACTADO;;;
UNIDAD EDUCATIVA SAN LUIS GONZAGA;CONTACTADO;;;
UEP Santa Maria Eufrasia;CONTACTADO;;;
UEP Santo Domingo de Guzman;CONTACTADO;;;
"VICTORIA BILINGUAL CHRISTIAN
ACADEMY";CONTACTADO;;;
UEP VIRGILIO DROUET;CONTACTADO;;;
UNIDAD EDUCATIVA BILINGÜE WILLIAM THOMSON;CONTACTADO;;;
"UNIDAD EDUCATIVA PARTICULAR
PERPETUO SOCORRO";CONTACTADO;;;
"UNIDAD EDUCATIVA PARTICULAR
ANDINO";CONTACTADO;;;
UEP Innova Schools Quitumbe;CONTACTADO;;;
LICEO INTERNACIONAL;CONTACTADO;;;
LUDOTECA PADRE VICTOR GRADOS;CONTACTADO;;;
"UNIDAD EDUCATIVA PARTICULAR
BILINGÜE MARTIM CERERE";CONTACTADO;;;
UEP MONTESORI;CONTACTADO;;;
NEW VISION SCHOOL;CONTACTADO;;;
UNIDAD EDUCATIVA BILINGUE SEK LOS VALLES;SEGUIMIENTO;;;
UE SENECA;SEGUIMIENTO;;;
UNIDAD EDUCATIVA JEAN JACQUES ROUSSEAU;SEGUIMIENTO;;;
UNIDAD EDUCATIVA DE LA INMACULADA;SEGUIMIENTO;;;
ESCUELA DE EDUCACION BASICA PARTICULAR NIÑO JESUS DE PRAGA;SEGUIMIENTO;MENOR VALOR;;
CE DISCOVERY ACADEMY;SEGUIMIENTO;;;
DR. GOLEMAN;SEGUIMIENTO;MENOR VALOR;;
UNIDAD EDUCATIVA MIGUEL DEL HIERRO;SEGUIMIENTO;MENOR VALOR;;
UNIDAD EDUCATIVA SALESIANA CARDENAL SPELLMAN;SEGUIMIENTO;;;
THE YELLOW SUBMARINE;SEGUIMIENTO;;;
CDI MAGIC KIDS;SEGUIMIENTO;;;
MANUEL TOBAR;SEGUIMIENTO;MENOR VALOR;;
UNIDAD EDUCATIVA PARTICULAR SAGRADOS CORAZONES DE RUMIPAMBA;SEGUIMIENTO;;;
CDI THINK FUNNY;SEGUIMIENTO;;;
UNIDAD EDUCATIVA SAN FRANCISCO DE SALES;SEGUIMIENTO;;;
UE DON BOSCO;SEGUIMIENTO;;;
COLEGIO SAN GABRIEL;SEGUIMIENTO;;;
UNIDAD EDUCATIVA LETORT;SEGUIMIENTO;;;
UNIDAD EDUCATIVA PARTICULAR RUDOLF STEINER;SEGUIMIENTO;;;
"CDI IKIDS "" El Telégrafo""";SEGUIMIENTO;;;
CENTRO EDUCATIVO MARIO BENEDETTI;SEGUIMIENTO;;;
UNIDAD EDUCATIVA PARTICULAR FRANCISCA DE LAS LLAGAS;SEGUIMIENTO;;;
UNIDAD EDUCATIVA TOMAS MORO;SEGUIMIENTO;;;
CDI ENVIRONMENT KIDS;SEGUIMIENTO;;;
CDI TERNURA;SEGUIMIENTO;;;
CENTRO EDUCATIVO GIOVANNI PASCOLI;SEGUIMIENTO;MENOR VALOR;;
UNIDAD EDUCATIVA PLANETA AZUL;SEGUIMIENTO;;;
UNIDAD EDUCATIVA FISCOMISIONAL PEDRO LUIS CALERO;SEGUIMIENTO;MENOR VALOR;;
UNIDAD EDUCATIVA PARTICULAR FEDERICO ENGELS;SEGUIMIENTO;;;
UE VALLEY VISION SCHOOL;SEGUIMIENTO;;;
UNIDAD EDUCATIVA PARTICULAR MARISTA;SEGUIMIENTO;;;
CENTRO EDUCATIVO EL TREBOL;SEGUIMIENTO;;;
CENTRO EDUCATIVO PARTICULAR ALEJANDRO DUMAS;SEGUIMIENTO;;;
CDI HARMONY KIDS ACADEMY;SEGUIMIENTO;;;
UE VICTORIA BILINGUAL;NEGADO;;;
CDI MI CASA;NEGADO;;;
EEB PARTICULAR ABDY GARDEN ;NEGADO;;;
UE SANTA MARIANA DE JESUS;NEGADO;;;
UNIDAD EDUCATIVA ALBERTO EINSTEIN;CONTACTADO;;;
CE IAF ANTONIO FLORES;CONTACTADO;;;
UE NUEVO ECUADOR;CONTACTADO;;;
MIS GOTITAS DE LLUVIA;CONTACTADO;;;
CDI  RINCON DE MOZART;NEGADOS;;;
CDI DANIEL GILMAN;NEGADOS;;;
CDI EXPLORANDO CON DOKY;NEGADOS;;;
CDI KANGURO PLAY KIDS;NEGADOS;;;
CDI PEQUENAS IDEAS;NEGADOS;;;
NUESTRA FINCA;NEGADOS;;;
SHANTYNIKETAN;NEGADOS;;;
"UEP ""DIDACTA""";NEGADOS;;;
UEP COLEGIO ESTADOS UNIDOS DE NORTEAMERICA;NEGADOS;;;
UEP CONGREGACION DE HERMANAS  DOMINICAS DE LA INMACULADA CONCEPCION;NEGADOS;;;
UEP EDUFANTASIA CIA LTDA;NEGADOS;;;
UEP EL ROSAL;NEGADOS;;;
UEP HOLLYDAYS;NEGADOS;;;
CDI  EL PARQUE;NEGADOS;;;
"CDI ""Mis Pequeñas Sonrisas"" ";NEGADOS;;;
CDI ABEJITAS DEL SUR;NEGADOS;;;
CDI ALBOROTO;NEGADOS;;;
CDI ARQUITA DE NOE;NEGADOS;;;
CDI Bilingüe Small Leaders;NEGADOS;;;
CDI CAPULLITOS DEL FUTURO;NEGADOS;;;
CDI CLAPCLAP KIDS;NEGADOS;;;
CDI Colegio Los Pinos, Preescolar Los Pinos Intisana;NEGADOS;;;
CDI DIDACTA MANUELA SAENZ;NEGADOS;;;
CDI DREAMERS;NEGADOS;;;
CDI E H D;NEGADOS;;;
CDI EL ANGEL GABRIEL;NEGADOS;;;
CDI EL ARCA DEL SABER;NEGADOS;;;
CDI El Parque;NEGADOS;;;
CDI ESTRELLITAS DEL FUTURO;NEGADOS;;;
CDI FUTURE KIDS  QUITO;NEGADOS;;;
CDI GARDNER MINI ACADEMY;NEGADOS;;;
CDI Guardería Horas Alegres (cumbaya);NEGADOS;;;
CDI Guardería Horas Alegres (quito);NEGADOS;;;
CDI Happy Kids;NEGADOS;;;
CDI INTEGRAL NEW GENERATION KIDS PLANET;NEGADOS;;;
CDI JOY KIDS;NEGADOS;;;
CDI Kiddie Garden;NEGADOS;;;
CDI Kids Camp;NEGADOS;;;
CDI Kidsgarden;NEGADOS;;;
CDI Kinder Gym;NEGADOS;;;
CDI Le Pierrot Atelier;NEGADOS;;;
CDI LITTLE VALLEY;NEGADOS;;;
CDI LITTLE VALLEY;NEGADOS;;;
CDI LONDRES;NEGADOS;;;
CDI MI ARCO IRIS DEL SABER;NEGADOS;;;
CDI MI GUAGUITO;NEGADOS;;;
CDI MI PRIMER COLE;NEGADOS;;;
CDI Millenium Kids;NEGADOS;;;
CDI Mis Primeros Años;NEGADOS;;;
CDI MUNDO DE LUZ;NEGADOS;;;
CDI MY FIRST STUDY;NEGADOS;;;
CDI Nuestro Futuro;NEGADOS;;;
CDI PAPEL Y TINTA;NEGADOS;;;
CDI Pequeño Paraiso;NEGADOS;;;
CDI Piruetas;NEGADOS;;;
CDI Rayuela;NEGADOS;;;
CDI REINO DE LOS NIÑOS;NEGADOS;;;
CDI Rincón de travesuras;NEGADOS;;;
CDI RINCON DE TRAVESURAS BOSMEDIANO;NEGADOS;;;
CDI Seeds Grow;NEGADOS;;;
CDI STOP N PLAY;NEGADOS;;;
CDI TALLER NIKO BARI;NEGADOS;;;
CDI Tía Susy;NEGADOS;;;
CDI Toddlers;NEGADOS;;;
LOS GIRASOLES;NEGADOS;;;
MELANIE KLEIN;NEGADOS;;;
SINDAMANOY;NEGADOS;;;
UEP ACADEMIA COTOPAXI;NEGADOS;;;
UEP ACADEMIA NAVAL ALMIRANTE HOWARD;NEGADOS;;;
UEP ACADEMIA USA;NEGADOS;;;
UEP ADVENTISTA GEDEON;NEGADOS;;;
UEP ALLIANCE INTERNACIONAL;NEGADOS;;;
UEP ANDREW;NEGADOS;;;
UEP BRITANICO INTERNACIONAL;NEGADOS;;;
UEP BRITISH SCHOOL QUITO;NEGADOS;;;
UEP COLEGIO AMERICA LATINA;NEGADOS;;;
UEP COLEGIO BECQUEREL;NEGADOS;;;
UEP Colegio Isaac Newton;NEGADOS;;;
UEP Colegio Masay;NEGADOS;;;
UEP Colegio San Gabriel;NEGADOS;;;
UEP Computer World;NEGADOS;;;
UEP COSME RENNELLA;NEGADOS;;;
UEP Ecuatoriano Suizo;NEGADOS;;;
UEP EL CAMINO;NEGADOS;;;
UEP EMDI SCHOOL;NEGADOS;;;
UEP Frau Klier;NEGADOS;;;
UEP GARDNER MINI ACADEMY;NEGADOS;;;
UEP ISM KIDS;NEGADOS;;;
UEP JC Camp Escuela Bilingüe;NEGADOS;;;
UEP JDR;NEGADOS;;;
UEP JESSS;NEGADOS;;;
UEP JOHN OSTEEN;NEGADOS;;;
UEP JULIO VERNE;NEGADOS;;;
UEP LA FONTAINE HIGH SCHOOL;NEGADOS;;;
UEP LEÓN COOPER;NEGADOS;;;
UEP LICEO JOSE ORTEGA Y GASSET;NEGADOS;;;
UEP MADRE DE LA DIVINA GRACIA;NEGADOS;;;
UEP MARISTA PRIMARIA QUITO;NEGADOS;;;
UEP Marqués de Selva Alegre;NEGADOS;;;
UEP MASLOW SCHOOL;NEGADOS;;;
UEP MONTEBELLO ACADEMY;NEGADOS;;;
UEP PENSIONADO UNIVERSITARIO Nelson León Vizcarra;NEGADOS;;;
UEP Pitágoras Hight school;NEGADOS;;;
UEP PRESIDENTE GEORGE WASHINGTON;NEGADOS;;;
UEP SEK QUITO;NEGADOS;;;
UEP THOMAS JEFFERSON;NEGADOS;;;
UNIDAD EDUCATIVA PARTICULAR LA PRESENTACION;CONVENIO;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
